TransactionID,CustomerID,CardID,MerchantName,TransactionDate,Amount,TransactionType,Status,FraudFlag,Channel
TXN000001,C088,CRD0133,Dis-Chem,2024-05-10,-229.93,Purchase,Approved,0,POS
TXN000002,C473,CRD0719,Ster-Kinekor,2022-05-04,-234.98,Purchase,Approved,0,ATM
TXN000003,C053,CRD0082,Vida e Caffe,2024-02-20,-78.79,Purchase,Declined,0,POS
TXN000004,C417,CRD0632,Nandos,2025-10-26,-405.81,Purchase,Declined,0,POS
TXN000005,C130,CRD0195,Edgars,2024-08-27,-189.34,Purchase,Approved,0,Online
TXN000006,C392,CRD0591,McDonalds,2022-01-08,-12.1,Purchase,Approved,0,POS
TXN000007,C443,CRD0674,Dis-Chem,2023-08-22,-224.57,Refund,Approved,0,POS
TXN000008,C426,CRD0649,Debonairs,2022-11-06,-451.55,Withdrawal,Approved,0,ATM
TXN000009,C314,CRD0464,Vida e Caffe,2025-10-27,-137.9,Purchase,Approved,0,POS
TXN000010,C151,CRD0228,Pep,2025-09-25,-47.42,Purchase,Approved,0,ATM
TXN000011,C104,CRD0159,Mr Price,2022-10-27,-269.13,Purchase,Declined,0,POS
TXN000012,C282,CRD0410,Engen,2025-06-22,-108.17,Purchase,Approved,0,Online
TXN000013,C392,CRD0591,Apple iTunes,2020-08-17,-498.42,Purchase,Approved,1,Online
TXN000014,C237,CRD0343,McDonalds,2022-07-17,-237.51,Withdrawal,Approved,0,ATM
TXN000015,C407,CRD0617,Faithful to Nature,2023-07-31,-450.71,Purchase,Approved,0,Online
TXN000016,C100,CRD0154,KFC,2024-12-30,40.36,Purchase,Pending,0,
TXN000017,C060,CRD0093,Pep,2020-07-20,166.04,Purchase,Approved,0,
TXN000018,C282,CRD0409,Romans Pizza,2025-06-21,68.15,Withdrawal,Approved,0,
TXN000019,C388,CRD0586,Edgars,2024-10-27,541.4,Purchase,Approved,0,
TXN000020,C059,CRD0092,Clicks,2020-04-09,121.32,Purchase,Approved,0,
TXN000021,C249,CRD0359,Nu Metro,2022-08-27,33.24,Refund,Approved,0,
TXN000022,C495,CRD0746,Google Play,2023-03-25,33.38,Purchase,Declined,0,
TXN000023,C213,CRD0313,Vida e Caffe,2025-11-13,40.85,Purchase,Approved,0,
TXN000024,C420,CRD0638,Uber Eats,2020-06-27,483.24,Purchase,Approved,1,
TXN000025,C039,CRD0062,Steers,2020-02-27,133.06,Withdrawal,Approved,0,
TXN000026,C446,CRD0679,Google Play,2022-08-04,422.16,Purchase,Approved,1,
TXN000027,C348,CRD0521,Cape Union Mart,2022-02-28,399.68,Purchase,Approved,0,
TXN000028,C482,CRD0730,Pick n Pay,2021-10-27,579.42,Purchase,Approved,0,
TXN000029,C211,CRD0310,Pep,2024-05-04,67.14,Refund,Approved,0,
TXN000030,C019,CRD0031,Loot.co.za,2021-07-28,610.42,Payment,Approved,0,
TXN000031,C355,CRD0534,Zando,2021-09-17,1358.54,transfer,Approved,0,Online
TXN000032,C218,CRD0320,Bash.com,2022-04-08,1265.8,PURCHASE,Approved,0,Online
TXN000033,C217,CRD0317,Takealot,2021-08-17,3415.38,purch,Declined,0,Online
TXN000034,C383,CRD0579,Faithful to Nature,2023-07-24,1157.18,unknown,Approved,0,Online
TXN000035,C097,CRD0150,Uber Eats,2024-12-19,271.23,N/A,Approved,0,Online
TXN000036,C429,CRD0653,Loot.co.za,2022-12-29,1961.02,debit,Approved,0,Online
TXN000037,C414,CRD0628,Pep,2025-05-28,267.15,REFUND,Approved,0,Online
TXN000038,C265,CRD0383,Builders Warehouse,2024-07-31,5436.01,wire,Approved,0,POS
TXN000039,C189,CRD0277,Loot.co.za,2021-12-26,603.85,cash,Approved,0,Online
TXN000040,C307,CRD0450,Google Play,2024-07-16,44.24,WITHDRAWAL,Approved,0,Online
TXN000041,C411,CRD0623,Uber Eats,2020-06-06,135.1,transfer,Approved,0,Online
TXN000042,C313,CRD0463,Vida e Caffe,2020-06-09,163.13,PURCHASE,Approved,0,Online
TXN000043,C352,CRD0529,Spotify,2023-03-17,13.15,purch,Declined,0,Online
TXN000044,C296,CRD0433,Steers,2025-01-25,143.32,unknown,Approved,0,Online
TXN000045,C122,CRD0185,Apple iTunes,2025-01-28,359.0,N/A,Approved,0,Online
TXN000046,C401,CRD0605,Google Play,2021-11-02,200.34,Payment,Approved,0,Online
TXN000047,C083,CRD0127,Mr Price,2025-09-26,362.16,Purchase,Approved,0,POS
TXN000048,C375,CRD0564,Ocean Basket,2021-09-26,742.44,Withdrawal,Approved,0,ATM
TXN000049,C121,CRD0184,ShowMax,2023-03-28,112.7,Purchase,Declined,0,Online
TXN000050,C078,CRD0121,Google Play,2025-07-31,4.75,Refund,Approved,0,Online
TXN000051,C370,CRD0557,Apple iTunes,2025-02-01,200.25,Purchase,Approved,0,Online
TXN000052,C053,CRD0082,Ster-Kinekor,2022-04-26,205.56,Purchase,Approved,0,POS
TXN000053,C248,CRD0358,Pick n Pay,2020-12-28,1517.39,Withdrawal,Approved,0,ATM
TXN000054,C120,CRD0183,Dis-Chem,2021-12-27,608.4,Purchase,Approved,0,Online
TXN000055,C256,CRD0369,Loot.co.za,2020-10-04,296.92,Purchase,Approved,0,Online
TXN000056,C375,CRD0564,Checkers,2024-08-21,383.81,Purchase,Approved,0,Online
TXN000057,C414,CRD0627,Checkers,2023-03-22,2057.46,Purchase,Approved,0,Online
TXN000058,C181,CRD0266,Chicken Licken,2025-10-29,27.21,Refund,Approved,0,POS
TXN000059,C122,CRD0185,Google Play,2025-03-19,99.92,Purchase,Approved,0,Online
TXN000060,C078,CRD0121,Uber Eats,2023-12-03,273.82,Purchase,Approved,0,Online
TXN000061,C429,CRD0653,Pep,2023-05-14,356.17,Purchase,Approved,0,POS
TXN000062,C005,CRD0007,Clicks,2021-12-27,338.58,Purchase,Declined,0,ATM
TXN000063,C330,CRD0491,Faithful to Nature,2023-10-04,996.83,Withdrawal,Approved,0,Online
TXN000064,C291,CRD0424,Faithful to Nature,2020-03-27,403.07,Purchase,Approved,0,Online
TXN000065,C251,CRD0363,Checkers,2021-11-10,1771.92,Purchase,Approved,0,POS
TXN000066,C404,CRD0610,Clicks,2023-01-17,271.53,Withdrawal,Approved,0,ATM
TXN000067,C339,CRD0509,Google Play,2021-12-25,251.91,Purchase,Approved,0,Online
TXN000068,C137,CRD0207,Bash.com,2022-02-18,153.61,Purchase,Approved,0,Online
TXN000069,C332,CRD0496,Uber Eats,2025-10-15,122.04,Purchase,Declined,0,Online
TXN000070,C089,CRD0136,Totalsports,2023-06-27,431.0,Purchase,Approved,0,Online
TXN000071,C404,CRD0609,Google Play,2023-07-27,201.73,Purchase,Approved,0,Online
TXN000072,C430,CRD0655,Google Play,2024-12-11,55.43,Purchase,Approved,0,Online
TXN000073,C191,CRD0280,Dis-Chem,2022-04-26,45.8,Purchase,Approved,0,POS
TXN000074,C190,CRD0278,Clicks,2023-10-19,252.42,Purchase,Approved,0,POS
TXN000075,C019,CRD0030,Vida e Caffe,2022-01-03,56.62,Purchase,Approved,0,Online
TXN000076,C425,CRD0645,Google Play,2020-11-17,144.43,Purchase,Approved,0,Online
TXN000077,C322,CRD0477,Engen,2023-06-25,1122.7,Purchase,Approved,0,Online
TXN000078,C322,CRD0477,Vida e Caffe,2024-01-28,49.37,Payment,Approved,0,Online
TXN000079,C472,CRD0717,Faithful to Nature,2020-09-24,1302.32,Purchase,Approved,0,Online
TXN000080,C249,CRD0360,Vida e Caffe,2025-09-25,63.23,Withdrawal,Approved,0,ATM
TXN000081,C229,CRD0334,Protea Hotels,2022-09-04,1209.67,Purchase,Approved,0,POS
TXN000082,C331,CRD0494,Ocean Basket,2024-11-18,510.68,Purchase,Approved,0,POS
TXN000083,C467,CRD0711,Pep,2025-06-28,72.14,Purchase,Approved,0,POS
TXN000084,C065,CRD0100,Google Play,2024-04-01,101.03,Purchase,Approved,0,Online
