CardID,CustomerID,CardType,CreditLimit,IssueDate
CRD0001,C001,Platinum,79000.0,2022-03-05
CRD0002,C002,Student,7000.0,2022-06-17
CRD0003,C003,Student,9000.0,2024-03-23
CRD0004,C004,Student,9000.0,2022-08-04
CRD0005,C005,Gold,51000.0,2019-07-07
CRD0006,C005,Gold,39000.0,2020-08-20
CRD0007,C005,Platinum,120000.0,2025-07-20
CRD0008,C006,Platinum,69000.0,2021-03-14
CRD0009,C006,Platinum,98000.0,2025-05-22
CRD0010,C007,Gold,66000.0,2022-10-14
CRD0011,C007,Gold,56000.0,2024-07-02
CRD0012,C008,Student,7000.0,2020-11-24
CRD0013,C009,Gold,36000.0,2025-01-29
CRD0014,C010,Business,234000.0,2019-05-19
CRD0015,C010,Silver,12000.0,2019-07-18
CRD0016,C010,Gold,51000.0,2020-07-17
CRD0017,C011,Platinum,140000.0,2020-09-10
CRD0018,C011,Platinum,114000.0,2024-02-11
CRD0019,C012,Student,9000.0,2024-06-21
CRD0020,C013,Gold,51000.0,2019-02-18
CRD0021,C014,Silver,27000.0,2022-03-20
CRD0022,C015,Platinum,108000.0,2023-10-30
CRD0023,C016,Business,127000.0,2020-01-30
CRD0024,C016,Gold,40000.0,2021-02-25
CRD0025,C017,Platinum,145000.0,2021-12-30
CRD0026,C017,Silver,12000.0,2023-03-09
CRD0027,C018,Silver,30000.0,2021-07-14
CRD0028,C018,Student,3000.0,2019-05-10
CRD0029,C018,Silver,22000.0,2023-03-25
CRD0030,C019,Platinum,51000.0,2020-12-02
CRD0031,C019,Platinum,105000.0,2022-09-18
CRD0032,C020,Silver,10000.0,2024-12-03
CRD0033,C020,Silver,19000.0,2021-05-15
CRD0034,C021,Gold,61000.0,2024-05-01
CRD0035,C021,Platinum,59000.0,2022-02-22
CRD0036,C021,Silver,28000.0,2019-05-15
CRD0037,C022,Silver,10000.0,2021-04-28
CRD0038,C023,Business,282000.0,2023-06-20
CRD0039,C023,Silver,29000.0,2020-10-27
CRD0040,C024,Platinum,133000.0,2025-01-23
CRD0041,C024,Platinum,146000.0,2020-07-27
CRD0042,C025,Platinum,147000.0,2024-08-13
CRD0043,C025,Gold,47000.0,2019-08-08
CRD0044,C026,Platinum,59000.0,2022-10-27
CRD0045,C027,Silver,29000.0,2023-06-13
CRD0046,C027,Silver,16000.0,2019-05-02
CRD0047,C028,Business,215000.0,2024-07-02
CRD0048,C028,Gold,60000.0,2023-03-18
CRD0049,C029,Gold,67000.0,2023-04-06
CRD0050,C030,Silver,17000.0,2019-10-29
CRD0051,C031,Silver,30000.0,2020-09-23
CRD0052,C032,Silver,28000.0,2020-01-10
CRD0053,C032,Platinum,89000.0,2023-12-27
CRD0054,C033,Student,4000.0,2019-12-24
CRD0055,C034,Platinum,121000.0,2024-09-29
CRD0056,C035,Platinum,95000.0,2025-03-20
CRD0057,C036,Gold,45000.0,2023-04-27
CRD0058,C037,Silver,12000.0,2025-04-10
CRD0059,C038,Silver,27000.0,2020-11-25
CRD0060,C038,Student,4000.0,2020-07-22
CRD0061,C038,Student,6000.0,2024-07-12
CRD0062,C039,Silver,18000.0,2023-09-21
CRD0063,C040,Student,7000.0,2021-10-27
