TransactionID,CustomerID,CardID,MerchantName,TransactionDate,Amount,TransactionType,Status,FraudFlag,Channel
TXN050001,C182,CRD0269,Google Play,2025-12-07,334.97,Purchase,Approved,1,Online
TXN050002,C413,CRD0626,Woolworths,2026-01-28,1213.7,Purchase,Declined,0,POS
TXN050003,C252,CRD0364,Bash.com,2026-02-02,351.83,Purchase,Declined,0,Online
TXN050004,C259,CRD0374,Wimpy,2026-03-16,115.62,Purchase,Approved,0,POS
TXN050005,C285,CRD0414,Gold Reef City,2025-11-30,270.69,Withdrawal,Declined,0,ATM
TXN050006,C490,CRD0739,Dis-Chem,2026-03-16,621.42,Withdrawal,Approved,0,ATM
TXN050007,C123,CRD0186,Dis-Chem,2026-04-15,449.44,Purchase,Approved,0,Online
TXN050008,C092,CRD0143,Nu Metro,2026-02-27,73.86,Purchase,Declined,0,Online
TXN050009,C473,CRD0719,Wimpy,2026-04-07,340.39,Withdrawal,Approved,0,ATM
TXN050010,C502,CRD0756,Mugg and Bean,2025-12-05,333.22,Purchase,Approved,0,Online
TXN050011,C307,CRD0450,Steers,2026-04-16,46.18,Purchase,Approved,0,POS
TXN050012,C303,CRD0444,Nandos,2026-02-24,139.72,Purchase,Declined,0,POS
TXN050013,C546,CRD0800,ShowMax,2025-12-12,94.99,Purchase,Approved,0,Online
TXN050014,C413,CRD0625,Totalsports,2026-04-15,1361.78,Purchase,Approved,0,Online
TXN050015,C496,CRD0749,Pep,2026-02-03,220.25,Purchase,Approved,0,POS
TXN050016,C348,CRD0520,Woolworths,2025-12-11,482.23,Withdrawal,Approved,0,ATM
TXN050017,C316,CRD0467,Chicken Licken,2026-02-26,86.89,Withdrawal,Approved,0,ATM
TXN050018,C544,CRD0798,Steers,2026-05-27,141.7,Withdrawal,Approved,0,ATM
TXN050019,C066,CRD0101,Loot.co.za,2026-04-03,735.18,Withdrawal,Approved,0,Online
TXN050020,C236,CRD0342,Checkers,2026-02-20,645.77,Purchase,Approved,0,Online
TXN050021,C399,CRD0602,Wimpy,2026-02-21,203.14,Purchase,Approved,0,POS
TXN050022,C111,CRD0169,Sportsmans Whouse,2026-04-28,300.39,Purchase,Declined,0,POS
TXN050023,C141,CRD0213,Ocean Basket,2026-05-09,176.6,Purchase,Approved,0,Online
TXN050024,C278,CRD0402,Avis SA,2025-12-01,1270.35,Purchase,Approved,0,Online
TXN050025,C546,CRD0800,Bash.com,2026-02-07,906.83,Purchase,Approved,0,Online
TXN050026,C097,CRD0150,Pep,2026-05-27,182.28,Purchase,Approved,0,POS
TXN050027,C389,CRD0587,DStv,2026-03-09,109.64,Purchase,Approved,0,Online
TXN050028,C054,CRD0084,McDonalds,2026-04-16,61.58,Purchase,Approved,0,POS
TXN050029,C015,CRD0022,Spotify,2026-01-25,77.75,Purchase,Approved,1,Online
TXN050030,C353,CRD0531,Mugg and Bean,2026-01-07,269.57,Purchase,Approved,0,ATM
TXN050031,C451,CRD0685,Truworths,2026-02-08,172.8,Purchase,Declined,0,ATM
TXN050032,C199,CRD0292,Google Play,2026-02-28,28.55,Refund,Declined,0,Online
TXN050033,C062,CRD0095,Faithful to Nature,2026-01-27,594.7,Purchase,Approved,0,Online
TXN050034,C393,CRD0593,Wimpy,2026-04-27,155.14,Purchase,Approved,0,POS
TXN050035,C137,CRD0207,Amazon.co.za,2025-12-27,5837.22,Withdrawal,Approved,1,Online
TXN050036,C500,CRD0754,ShowMax,2026-02-08,112.35,Purchase,Approved,0,Online
TXN050037,C007,CRD0010,Steers,2026-02-10,179.12,Purchase,Approved,0,Online
TXN050038,C071,CRD0111,Pick n Pay,2026-02-19,433.22,Purchase,Approved,0,POS
TXN050039,C531,CRD0785,Google Play,2026-03-28,279.52,Purchase,Approved,1,Online
